"Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince is the sixth and penultimate novel in the Harry Potter series, written by British author J. K. Rowling. Set during protagonist Harry Potter's sixth year at Hogwarts, the novel explores the past of Harry's nemesis, Lord Voldemort, and Harry's preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore.","Harry Potter and the Half-Blood Prince is the sixth and penultimate novel in the Harry Potter series, written by British author J. K. Rowling. Set during protagonist Harry Potter's sixth year at Hogwarts, the novel explores the past of Harry's nemesis, Lord Voldemort, and Harry's preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore.

The book was published in the United Kingdom by Bloomsbury and in the United States by Scholastic on 16 July 2005, as well as in several other countries. It sold nine million copies in the first 24 hours after its release, a record at the time which was eventually broken by its sequel, Harry Potter and the Deathly Hallows. There were many controversies before and after it was published, including the right to read the copies delivered prior to the release date in Canada. Reception to the novel was generally positive and it won several awards and honours, including the 2006 British Book of the Year award.

Reviewers noted that the book took on a darker tone than its predecessors, though it did contain some humour. Some considered the main themes to be love and death, and trust and redemption. The character development of Harry and several other teenage characters was also remarked upon."
"The Catcher in the Rye","The Catcher in the Rye is a 1951 novel by J. D. Salinger.[3] A controversial novel originally published for adults, it has since become popular with adolescent readers for its themes of teenage angst and alienation.[4][5] It has been translated into almost all of the world's major languages.[","The Catcher in the Rye is a 1951 novel by J. D. Salinger.[3] A controversial novel originally published for adults, it has since become popular with adolescent readers for its themes of teenage angst and alienation.[4][5] It has been translated into almost all of the world's major languages.[6] Around 250,000 copies are sold each year with total sales of more than 65 million books.[7] The novel's protagonist Holden Caulfield has become an icon for teenage rebellion.[8] The novel also deals with complex issues of innocence, identity, belonging, loss, and connection.

The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923[9] and it was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century.[10][11][12] In 2003, it was listed at #15 on the BBC's survey The Big Read."
"Harry Potter and the Chamber of Secrets","Harry Potter and the Chamber of Secrets is the second novel in the Harry Potter series, written by J. K. Rowling. The plot follows Harry's second year at Hogwarts School of Witchcraft and Wizardry, during which a series of messages on the walls of the school's corridors warn that the ""Chamber of Secrets"" has been opened and that the ""heir of Slytherin"" would kill all pupils who do not come from all-magical families.","Harry Potter and the Chamber of Secrets is the second novel in the Harry Potter series, written by J. K. Rowling. The plot follows Harry's second year at Hogwarts School of Witchcraft and Wizardry, during which a series of messages on the walls of the school's corridors warn that the ""Chamber of Secrets"" has been opened and that the ""heir of Slytherin"" would kill all pupils who do not come from all-magical families. These threats are found after attacks which leave residents of the school ""petrified"" (frozen like stone). Throughout the year, Harry and his friends Ron Weasley and Hermione Granger investigate the attacks.

The book was published in the United Kingdom on 2 July 1998 by Bloomsbury and in the United States on 2 June 1999 by Scholastic Inc. Although Rowling found it difficult to finish the book, it won high praise and awards from critics, young readers and the book industry, although some critics thought the story was perhaps too frightening for younger children. Much like with other novels in the series, Harry Potter and the Chamber of Secrets triggered religious debates; some religious authorities have condemned its use of magical themes, while others have praised its emphasis on self-sacrifice and on the way in which a person's character is the result of the person's choices."
"Harry Potter and the Prisoner of Azkaban
","Harry Potter and the Prisoner of Azkaban is the third novel in the Harry Potter series, written by J. K. Rowling. The book follows Harry Potter, a young wizard, in his third year at Hogwarts School of Witchcraft and Wizardry. ","Harry Potter and the Prisoner of Azkaban is the third novel in the Harry Potter series, written by J. K. Rowling. The book follows Harry Potter, a young wizard, in his third year at Hogwarts School of Witchcraft and Wizardry. Along with friends Ron Weasley and Hermione Granger, Harry investigates Sirius Black, an escaped prisoner from Azkaban who they believe is one of Lord Voldemort's old allies.

The book was published in the United Kingdom on 8 July 1999 by Bloomsbury and in the United States on 8 September 1999 by Scholastic Inc.[1][2][3][4] Rowling found the book easy to write, finishing it just a year after she had begun writing it. The book sold 68,000 copies in just three days after its release in the United Kingdom, and since has sold over three million in the country.[5] The book won the 1999 Whitbread Children's Book Award, the Bram Stoker Award, the 2000 Locus Award for Best Fantasy Novel, and was short-listed for other awards, including the Hugo."
"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire is the fourth novel in the Harry Potter series, written by British author J. K. Rowling. It follows Harry Potter, a wizard in his fourth year at Hogwarts School of Witchcraft and Wizardry and the mystery surrounding the entry of Harry's name into the Triwizard Tournament, in which he is forced to compete.","Harry Potter and the Goblet of Fire is the fourth novel in the Harry Potter series, written by British author J. K. Rowling. It follows Harry Potter, a wizard in his fourth year at Hogwarts School of Witchcraft and Wizardry and the mystery surrounding the entry of Harry's name into the Triwizard Tournament, in which he is forced to compete.

The book was published in the United Kingdom by Bloomsbury and in the United States by Scholastic, in both countries the release date was 8 July 2000, the first time a book in the series was published in both countries at the same time. The novel won a Hugo Award, the only Harry Potter novel to do so, in 2001. The book was made into a film, which was released worldwide on 18 November 2005, and a video game by Electronic Arts."
"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix is the fifth novel in the Harry Potter series, written by J. K. Rowling. It follows Harry Potter's struggles through his fifth year at Hogwarts School of Witchcraft and Wizardry","Harry Potter and the Order of the Phoenix is the fifth novel in the Harry Potter series, written by J. K. Rowling. It follows Harry Potter's struggles through his fifth year at Hogwarts School of Witchcraft and Wizardry, including the surreptitious return of the antagonist Lord Voldemort, O.W.L. exams, and an obstructive Ministry of Magic. The novel was published on 21 June 2003 by Bloomsbury in the United Kingdom, Scholastic in the United States, and Raincoast in Canada. Five million copies were sold in the first 24 hours of publication.[1] It is the longest book of the series.

Harry Potter and the Order of the Phoenix has won several awards, including being named an American Library Association Best Book for Young Adults in 2003. The book has also been made into a film, which was released in 2007, and into a video game by Electronic Arts."
"Harry Potter and the Deathly Hallows","Harry Potter and the Deathly Hallows is the seventh and final novel of the Harry Potter series, written by British author J. K. Rowling. The book was released on 21 July 2007 by Bloomsbury Publishing in the United Kingdom, in the United States by Scholastic, and in Canada by Raincoast Books","Harry Potter and the Deathly Hallows is the seventh and final novel of the Harry Potter series, written by British author J. K. Rowling. The book was released on 21 July 2007 by Bloomsbury Publishing in the United Kingdom, in the United States by Scholastic, and in Canada by Raincoast Books, ending the series that began in 1997 with the publication of Harry Potter and the Philosopher's Stone. The novel chronicles the events directly following Harry Potter and the Half-Blood Prince (2005), and the final confrontation between the wizards Harry Potter and Lord Voldemort, as well as revealing the previously concealed back story of several main characters. The title of the book refers to three mythical objects featured in the story, collectively known as the ""Deathly Hallows""—an unbeatable wand, a stone to bring the dead to life, and a cloak of invisibility.

Rowling finished writing Harry Potter and the Deathly Hallows in January 2007. Before its release, Bloomsbury reportedly spent £10 million to keep the book's contents safe before its release date. American publisher Arthur Levine refused any copies of the novel to be released in advance for press review, although two reviews were submitted early. Shortly before release, photos of all 759 pages of the U.S. edition were leaked and transcribed, leading Scholastic to look for the source that had leaked it."
"Lolita","Lolita is a novel by Vladimir Nabokov, written in English and published in 1955 in Paris, in 1958 in New York City, and in 1959 in London.","Lolita is a novel by Vladimir Nabokov, written in English and published in 1955 in Paris, in 1958 in New York City, and in 1959 in London. Nabokov's own translation of the book into Russian was published by Phaedra Publishers in New York in 1967. The novel is notable for its controversial subject: the protagonist and unreliable narrator, a middle-aged literature professor called Humbert Humbert, is obsessed with the 12-year-old Dolores Haze, with whom he becomes sexually involved after he becomes her stepfather. ""Lolita"" is his private nickname for Dolores."
"The Common Sense Book of Baby and Child Care","The Common Sense Book of Baby and Child Care written by Benjamin Spock, is a manual on infant and child care first published in 1946. The book, along with Dr. Spock, attained fame almost instantly, selling 500,000 copies in its first six months","The Common Sense Book of Baby and Child Care written by Benjamin Spock, is a manual on infant and child care first published in 1946. The book, along with Dr. Spock, attained fame almost instantly, selling 500,000 copies in its first six months. By Spock’s death in 1998, over 50 million copies of the book had been sold, making it the best-selling book of the twentieth century in America, aside from the Bible.[1] As of 2011, the book had been translated into 39 languages.[2]"
"Anne of Green Gables
","Anne of Green Gables is a 1908 novel by Canadian author Lucy Maud Montgomery. Written for all ages, it has been considered a children's novel since the mid-twentieth century. ","Anne of Green Gables is a 1908 novel by Canadian author Lucy Maud Montgomery. Written for all ages, it has been considered a children's novel since the mid-twentieth century. It recounts the adventures of Anne Shirley, an 11-year-old orphan girl who is mistakenly sent to Matthew and Marilla Cuthbert, a middle-aged brother and sister who had intended to adopt a boy to help them on their farm in Prince Edward Island. The novel recounts how Anne makes her way with the Cuthberts, in school, and within the town."
"Black Beauty","Black Beauty is an 1877 novel by English author Anna Sewell. It was composed in the last years of her life, during which she remained in her house as an invalid.","Black Beauty is an 1877 novel by English author Anna Sewell. It was composed in the last years of her life, during which she remained in her house as an invalid.[1] The novel became an immediate best-seller, with Sewell dying just five months after its publication, but having lived long enough to see her only novel become a success. With fifty million copies sold, Black Beauty is one of the best-selling books of all time.[2]

While forthrightly teaching animal welfare, it also teaches how to treat people with kindness, sympathy, and respect. In 2003, the novel was listed at number 58 on the BBC's survey The Big Read.[3]"
"The Eagle Has Landed","The Eagle Has Landed is a book by British writer Jack Higgins, set during World War II and first published in 1975. It was made into a film of the same name in 1976 starring Michael Caine, Donald Sutherland, Jenny Agutter and Robert Duvall. ","The book makes use of the false document technique, and opens with Higgins describing his discovery of the concealed grave of thirteen German paratroopers in an English graveyard. What follows was inspired by the real life rescue of Hitler's ally Benito Mussolini by Otto Skorzeny. A similar idea is considered by Hitler, with the strong support of Himmler. Admiral Wilhelm Canaris, head of the Abwehr (German military intelligence), is ordered to make a feasibility study of the seemingly impossible task of capturing British Prime Minister Winston Churchill and bringing him to the Reich."
"Watership Down","Watership Down is a classic adventure novel, written by English author Richard Adams, published by Rex Collings Ltd of London in 1972. Set in southern England, the story features a small group of rabbits. Although they live in their natural environment","Watership Down is a classic adventure novel, written by English author Richard Adams, published by Rex Collings Ltd of London in 1972. Set in southern England, the story features a small group of rabbits. Although they live in their natural environment, they are anthropomorphised, possessing their own culture, language, proverbs, poetry, and mythology. Evoking epic themes, the novel follows the rabbits as they escape the destruction of their warren and seek a place to establish a new home, encountering perils and temptations along the way.

Watership Down was Richard Adams' first novel. Although it was rejected by several publishers before Collings accepted it,[4] it won the annual Carnegie Medal, annual Guardian Prize, and other book awards. It was adapted into the 1978 animated film Watership Down. Later there was a television series also titled Watership Down which ran from 1999 to 2001.[5][6]"
"Shere Hite","Shere Hite (born November 2, 1942[1]) is an American-born German[2] sex educator and feminist. Her sexological work has focused primarily on female sexuality. Hite builds upon biological studies of sex by Masters and Johnson and by Alfred Kinsey.","Shere Hite (born November 2, 1942[1]) is an American-born German[2] sex educator and feminist. Her sexological work has focused primarily on female sexuality. Hite builds upon biological studies of sex by Masters and Johnson and by Alfred Kinsey. She also references theoretical, political and psychological works associated with the feminist movement of the 1970s, such as Anne Koedt's The Myth of the Vaginal Orgasm. She renounced her United States citizenship in 1995 to become German.[3]"
